idx,id,text,intent,urgency,events,reasons,suggest_intent,suggest_urgency,suggest_events,keyword_hits
11024,3c033a530ce1302a86dda506b8ed49ac4538c73d,"Emergency drill simulasi evakuasi di ban berjalan, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
11466,f5436dfbd611295b98d789e03c3b35cbc3a726a4,"Emergency DRILL SIMULASI EVAKUASI DI ramp W, semua aman.!!",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
12178,e47bf061fcd3966cd1c27d07ec9c3f6e6f5e6e6b,"Emergency drill simulasi evakuasi di lowwall, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos|kw_ground_failure_missing_event,,HIGH,GROUND_FAILURE,\b(emergency|darurat|tolong|urgent|segera)\b|\b(longsor|ambrol|runtuh|retak tanah|highwall|lowwall|slip)\b
12872,724ca2530fa3d1dae089f04e6fb0894f534d8e3b,"Emergency drill simulasi evakuasi di waste dump area, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
14617,76ae435c26af1d85ffb99e58591352f5dd2c28d9,"Safety to Safety, PENDARAHAN: masuk jurang di ROM 3, evakuasi area sekarang.",SOS,HIGH,INJURY_MEDICAL,data_problem:invalid_events,,,,
16314,8d76f8286b471aa1be5f153209da091d7bd441bc,"Emergency drill simulasi evakuasi di DISPOSAL, SEMUA aman.!!",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
16399,db0ab0f673f004953071c7190bc25ef039df5743,"perdarahan, ERT: ga tahu jalan tadi di base station, isolasi AREA DAN HENTIKAN aktivitas.!!  barengan orang hilang",SOS,HIGH,TRAPPED_LOST,data_problem:invalid_events,,,,
16450,03889b61aaa7c813f67d7dedcb59fe8a93c5fbc5,"Emergency drill simulasi evakuasi di ramp W, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
18904,3906f0080c04ebf37e3be40cf8a5c9b56bc9c886,"Emergency drill simulasi evakuasi di sump, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
19858,3c033a530ce1302a86dda506b8ed49ac4538c73d,"Emergency drill simulasi EVAKUASI DI BAN berjalan, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
22400,8d76f8286b471aa1be5f153209da091d7bd441bc,"Emergency drill simulasi EVAKUASI DI DISPOSAL, semua aman.!!",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
23565,3906f0080c04ebf37e3be40cf8a5c9b56bc9c886,"Emergency drill SIMULASI EVAKUASI di sump, semua aman.",SOS_POSSIBLE,LOW,INJURY_MEDICAL,duplicate_text_in_split|heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos,,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
23,f31c0adf2490b6d0fa2ded366b9e7ad7d8fde607,"Latihan emergency response di bengkel, HANYA uji COBA.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
73,566bfffdd42cca48563c6269fdf985cb90cfd7b0,"Emergency training hari ini di basecamp, abaikan alarm ini (drill).",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
170,5e2cdf735151b94ed163b11a63fa5a8a336ed6aa,"Emergency training hari ini di ROM 3, abaikan alarm ini (drill).",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
277,43285576ed58d5489862457c8e2e2476a896de8b,"Safety, trauma kepala di bunker sudah terkendali, mohon dibuat WO.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
469,fbf7718b9079aaad08e3c2f6b71d0db99283c56a,"Emergency training hari ini di WORKSHOP, abaikan alarm ini (drill).!",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
474,d04d4a9f6721491e2b22a35c810f76325da25264,"Emergency stand down, KEJADIAN di shop aman terkendali.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
756,d48faa6146dac7b7c19adb7f728566818bbb784b,"latihan, ditemukan suspensi patah sekalian boom patah saat lifting patah patah di haul road, mohon jadwalkan perbaikan.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
930,74939796b62e2ba5f15aa16d9ffb41533cc59003,"Dispatch, tidak urgent: sakit sakit sakit sakit parah di belt conveyor, untuk dicatat.!",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
969,1f1dd6e11e4f4a53914f3437fb55f75567aacbc9,"Emergency stand DOWN, KEJADIAN DI hauling road aman terkendali.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
1031,68fa9b4d0edd18adc890c14e842a7a208d715750,"sudah ditangani, ditemukan kabel terkelupas dan panel meledak di dinding rendah, update status.",NON_SOS,MEDIUM,FIRE_EXPLOSION|ELECTRICAL,heavy_event_low_urgency:FIRE_EXPLOSION|kw_fire_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(kebakaran|api|asap tebal|terbakar|meledak|ledakan|fire)\b
1185,74be0dce5e45da1250c3329989dc7e60f072cca7,"tidak urgent, ditemukan sprain sekalian keimpit di dump area, update status. standby.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
1255,e2a798908e83540130507f56ac9d23d165340b28,"Update: EMERGENCY sebelumnya di haul road sudah clear, false alarm.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
1302,7d727b70c588e65b1a76e5eaee067b4cc8450081,"latihan evakuasi, ditemukan ban pecah dengan tabrakan DI DEWATERING area, update status. repeat.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_collision_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,COLLISION_VEHICLE,\b(tabrak|menabrak|tabrakan|tertabrak|nabrak|bentur|ketabrak|collision)\b
1451,527398d62887c2f62c15d267204d0f13067321f4,"Safety, suspensi patah barengan load drop di di di di portal underground sudah terkendali, mohon dibuat WO.!!!",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
1605,7e16725f2d1c2c1adc24138ae327cbd22ddf0615,"Emergency training hari ini di ramp E, abaikan alarm ini (drill).",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
1623,73542c8c269f3941e0e04050d1a2496e0416c564,"Simulasi trauma (drill) di bin, tidak ada kejadian nyata.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
1642,c8bed909b9291de1245a90e60afb8007bd9aadad,"gak darurat, ditemukan drill hole plus charging plus batu mental di waste dump area, mohon jadwalkan perbaikan.!!!",NON_SOS,LOW,FIRE_EXPLOSION,heavy_event_low_urgency:FIRE_EXPLOSION|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
1691,e2a798908e83540130507f56ac9d23d165340b28,"Update: emergency sebelumnya di haul ROAD SUDAH clear, false ALARM.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
1753,3002b64a3bdf278972ad3df5c576793ffda49958,"Safety, mock: boom patah sekalian jatuh ke jurang sekalian HD di dewatering area, update status.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
1813,7e16725f2d1c2c1adc24138ae327cbd22ddf0615,"Emergency training hari ini di RAMP E, ABAIKAN ALARM ini (drill).",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
2000,5a3fcc89ac92da4b81f13261a0993a248e671b02,"Latihan emergency response di bin, hanya uji coba.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
2030,2dac249fae3fe3263385c0c23ea9bae1581cf413,"Base, tidak urgent: sprain di rom, MOHON JADWALKAN PERBAIKAN.!!",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
2124,1c7c5083de863f412e5c9d6e868386b085316419,"Emergency stand down, kejadian DI open pit aman terkendali.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
2418,3e6fe098483bce1200e526b5522ab6f6ad2ea501,"Latihan emergency response di CRUSHER, HANYA UJI COBA.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
2419,0125056e717551eb5d70d98c0d5198914f97f72b,"sudah selesai, ada diesel dengan leaking (konteks: angkut) di pos TIMBANG, TOLONG DIBUAT WO. standby ya.",NON_SOS,LOW,HAZMAT_RELEASE,heavy_event_low_urgency:HAZMAT_RELEASE|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
2448,5fe57c7f81477e7d92b1fb064ab3082a4f386dec,"Clinic, seepage plus ventilasi mati (konteks: operasi grader) di hopper sudah terkendali, buat dicatat.!!, koordinat -3.666,118.840 (channel emergency).",NON_SOS,LOW,HAZMAT_RELEASE,heavy_event_low_urgency:HAZMAT_RELEASE|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
2512,e49ea385aff8bfc5c08f426505bd1a49cc41a450,"Clinic, sudah terkendali: suspensi patah di PIT UTARA, mohon dibuat WO.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
2576,b818064bcf326df14f2f14008e84cbe385e980d6,"Latihan emergency RESPONSE DI disposal, hanya uji coba.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
2875,2b99ef78db3d48ab8b770dbd184d08e4a9e78cb2,"test alarm, ditemukan gas menyengat di lowwall, mohon dibuat WO, koordinat -3.040,116.711.",NON_SOS,LOW,HAZMAT_RELEASE,heavy_event_low_urgency:HAZMAT_RELEASE|kw_ground_failure_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,GROUND_FAILURE,\b(longsor|ambrol|runtuh|retak tanah|highwall|lowwall|slip)\b
2942,4c8682bed96a50e11ea6b734d06caaaae452ddb3,"CLINIC, ADA DRILL HOLE DI dewatering area, minta rescue segera.",NON_SOS,LOW,FIRE_EXPLOSION,heavy_event_low_urgency:FIRE_EXPLOSION|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
3020,0dafbe22048f05f301cf3efb867c988ddc9e3b9d,"Base, gudang DI lowwall sudah terkendali, update status.",NON_SOS,LOW,FIRE_EXPLOSION,heavy_event_low_urgency:FIRE_EXPLOSION|kw_ground_failure_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,GROUND_FAILURE,\b(longsor|ambrol|runtuh|retak tanah|highwall|lowwall|slip)\b
3090,e9f434d940734e62491b1c0e2824a77dc619e64d,"sudah terkendali, ditemukan pit barengan api merembet (konteks: downtime) di underground heading, mohon dibuat WO.",NON_SOS,LOW,FIRE_EXPLOSION,heavy_event_low_urgency:FIRE_EXPLOSION|kw_fire_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(kebakaran|api|asap tebal|terbakar|meledak|ledakan|fire)\b
3199,f37b7b404826611ea22e39d982e84ae7a1abd742,"Emergency cancel, false alarm di disposal, kondisi aman.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
3212,e2fe73b9e3f8b99f136b9aef130f2322acfdc9f8,"Simulasi luka (drill) di underground heading, tidak ada kejadian nyata.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
3304,400597ba2f9ff5a4941d68756dfbcf39f7524e1c,"training, ada tertimpa dan tergencet dan terbakar kulit di tip point, buat dicatat (channel utama).",NON_SOS,LOW,FIRE_EXPLOSION,heavy_event_low_urgency:FIRE_EXPLOSION|kw_fire_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(kebakaran|api|asap tebal|terbakar|meledak|ledakan|fire)\b
3321,6cf565add3d3a6db8f99410638396ac60f718bf3,"Clinic, suspensi patah di pit selatan sudah terkendali, untuk dicatat.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
3402,1ca235443413cbd9b1a2c7a4d218cebfc8db6ead,"Emergency training hari ini di pos timbang, abaikan alarm ini (drill).",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
3538,37e89f267a4b216bbe09844363b7dafa44cefc40,"SERVICE, ADA BOOM patah di dinding rendah, untuk follow up.",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
3555,ed55b586832073f6c974e2f2c2151af4b5824c35,"Emergency training hari ini di crossing, abaikan alarm ini (drill).",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
3690,8e954eb72c95f0adcf4f3e595d76125f9e6e6857,"tidak urgent, ada sumbu di dinding tinggi, mohon dibuat WO. need ERT now, koordinat -1.969,118.904.",NON_SOS,LOW,FIRE_EXPLOSION,heavy_event_low_urgency:FIRE_EXPLOSION|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
3836,7cae17f478f5c8eee5e7d0ab1ab15a5e9a4d2b42,"Emergency stand down, kejadian DI PLANT AMAN terkendali.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
3910,9c9df9bbd56c15f773a86548312045331e49ff58,"Latihan emergency response di BAN berjalan, HANYA uji coba.",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
3990,e60002eddcc6887ccc3ba74953b700f46379467f,"latihan evakuasi, ditemukan settlement sekalian ground support failure di highwall, mohon jadwalkan perbaikan. roger, koordinat -0.840,117.897.",NON_SOS,LOW,INJURY_MEDICAL|GROUND_FAILURE,heavy_event_low_urgency:INJURY_MEDICAL|kw_ground_failure_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(longsor|ambrol|runtuh|retak tanah|highwall|lowwall|slip)\b
4033,cfc5b899c631c145c0e093130f26e36c59a4cd57,"sudah selesai, ada trauma kepala sekalian ketimpa di pumping station, pls jadwalkan perbaikan.!",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_injury_missing_event|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(berdarah|luka|patah|cedera|trauma|memar|pingsan|patah tulang)\b
4187,059418d4468d77f2930e35a8d73e497cf78d2175,"gak gak gak gak urgent, ada kepala terbentur di hopper, tolong jadwalkan perbaikan.!",NON_SOS,LOW,INJURY_MEDICAL,heavy_event_low_urgency:INJURY_MEDICAL|kw_emergency_word_but_non_sos|non_sos_with_heavy_event,SOS_POSSIBLE,HIGH,,\b(emergency|darurat|tolong|urgent|segera)\b
4260,33c5c145a09063f16d8b4635e2157452254a5df0,"Emergency cancel, false alarm di hopper, kondisi aman.!!",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
4266,c2cc1714e36c75464327adf2581529a3fc514b51,"Emergency training hari ini di pos timbang, abaikan alarm ini (drill).!!",NON_SOS,LOW,,duplicate_text_in_split|kw_emergency_word_but_non_sos,SOS_POSSIBLE,MEDIUM,,\b(emergency|darurat|tolong|urgent|segera)\b
